Symbol,Name,Price,"Dopeler
ROE
(Ave.)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
NSYS,Nortech Systems Incorporated,2.84,-4.0%,N/A,N/A,N/A,-13.30,-0.363,-9.67,Capital Goods,Industrial Machinery/Components,-11.4%,4.6%,-23.8%,14.8%
NTK,Nortek Inc.,65.30,13.3%,N/A,71.8,1.4%,-93.15,2.563,-118.78,Consumer Durables,Home Furnishings,11.7%,4.3%,23.0%,14.1%
NTIC,Northern Technologies International Corporation,10.40,-26.5%,N/A,N/A,N/A,-4.16,-0.398,-0.18,Capital Goods,Industrial Specialties,1.6%,-18.4%,-37.9%,-51.4%
NWPX,Northwest Pipe Company,20.75,-0.3%,N/A,N/A,N/A,-19.87,-0.074,-19.13,Basic Industries,Steel/Iron Ore,-0.6%,-20.6%,21.3%,-1.3%
NVMI,Nova Measuring Instruments Ltd.,7.61,80.4%,1.00,10.0,10.0%,7.63,0.524,2.39,Capital Goods,Electronic Components,163.7%,227.7%,-27.3%,-42.6%
NVDQ,Novadaq Technologies Inc,8.84,-180.3%,N/A,N/A,N/A,-4.99,-0.463,-0.35,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-57.7%,-123.3%,-186.0%,-354.3%
NVTL,"Novatel Wireless, Inc.",1.33,22.3%,0.27,3.0,33.4%,5.00,0.523,-0.24,Consumer Durables,Telecommunications Equipment,-25.9%,15.6%,59.3%,40.1%
NVAX,"Novavax, Inc.",1.83,-260.0%,N/A,N/A,N/A,-2.14,-0.218,0.04,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-198.7%,-325.3%,-330.3%,-185.8%
NVGN,Novogen Limited,6.20,-396.0%,33.26,N/A,N/A,0.19,-0.215,2.33,Consumer Durables,Major Pharmaceuticals,77.7%,-330.9%,-601.9%,-729.1%
NPSP,"NPS Pharmaceuticals, Inc.",10.14,-1456.0%,N/A,N/A,N/A,-10.30,-0.917,-1.13,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-3167.2%,-1830.7%,-500.9%,-325.1%
NTLS,NTELOS Holdings Corp.,13.44,18.4%,0.67,8.6,11.6%,20.10,4.708,-26.97,Public Utilities,Telecommunications Equipment,9.8%,15.3%,22.0%,26.4%
NMRX,Numerex Corp.,11.62,40.2%,3.69,33.3,3.0%,3.15,0.363,-0.48,Consumer Durables,Telecommunications Equipment,-19.3%,55.7%,34.6%,89.6%
PATH,NuPathe Inc.,3.40,-8914.1%,N/A,N/A,N/A,-434.70,-43.505,0.35,Consumer Durables,Major Pharmaceuticals,-8601.8%,-11130.6%,-7010.0%,N/A
NUTR,Nutraceutical International Corporation,16.58,19.6%,0.78,8.2,12.1%,21.24,2.636,-5.12,Consumer Durables,Specialty Chemicals,19.2%,22.2%,18.5%,18.6%
NTRI,NutriSystem Inc,7.84,207.0%,0.17,1.8,55.7%,46.55,4.717,-0.62,Consumer Services,Catalog/Specialty Distribution,80.3%,192.5%,158.0%,397.3%
NUVA,"NuVasive, Inc.",14.88,6.2%,N/A,68.3,1.5%,-3.88,0.322,-7.10,Health Care,Medical/Dental Instruments,8.4%,0.9%,32.6%,-17.3%
NVEC,NVE Corporation,53.33,279.7%,1.04,10.5,9.6%,51.19,4.758,3.61,Technology,Semiconductors,255.9%,305.4%,308.1%,249.5%
NVDA,NVIDIA Corporation,11.75,46.3%,1.04,10.5,9.5%,11.32,0.857,2.76,Technology,Semiconductors,73.0%,53.7%,36.9%,21.4%
NXPI,NXP Semiconductors N.V.,24.33,-8.5%,N/A,N/A,N/A,-24.72,-0.681,-17.91,Technology,Semiconductors,-0.8%,5.5%,-30.3%,N/A
NXTM,"NxStage Medical, Inc.",12.14,-37.5%,N/A,N/A,N/A,-5.57,-0.493,-0.64,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-11.0%,-4.4%,-29.1%,-105.5%
NYMX,Nymox Pharmaceutical Corporation,7.16,-447.2%,N/A,N/A,N/A,-0.93,-0.076,-0.17,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,-1860.0%,1376.0%,-648.4%,-656.2%
OIIM,O2Micro International Limited,3.10,26.7%,0.39,-0.4,-236.9%,7.93,0.463,3.30,Technology,Semiconductors,27.4%,30.6%,15.5%,33.3%
OMPI,"Obagi Medical Products, Inc.",13.40,252.9%,1.16,11.7,8.5%,11.58,1.053,1.05,Consumer Durables,Major Pharmaceuticals,293.9%,197.0%,252.6%,268.1%
OBCI,"Ocean Bio-Chem, Inc.",2.37,10.1%,2.43,18.7,5.4%,0.97,0.161,-0.63,Consumer Durables,Specialty Chemicals,4.7%,17.6%,19.7%,-1.5%
OPTT,"Ocean Power Technologies, Inc.",2.30,-952.3%,N/A,N/A,N/A,-17.76,-2.031,2.54,Public Utilities,Electric Utilities: Central,-705.9%,-1093.0%,-930.7%,-1079.7%
ORIG,Ocean Rig UDW Inc.,15.60,1.3%,N/A,63.9,1.6%,-14.90,0.566,-20.57,Energy,Oil & Gas Production,-1.0%,-0.7%,5.7%,N/A
OCLR,"Oclaro, Inc.",1.80,-14.6%,N/A,N/A,N/A,-3.72,-0.264,-1.08,Technology,Semiconductors,-20.8%,-12.4%,-13.9%,-11.5%
OCLS,"Oculus Innovative Sciences, Inc.",0.69,-213.4%,N/A,N/A,N/A,-2.06,-0.191,-0.14,Health Care,Medical/Dental Instruments,-142.4%,-149.1%,-184.7%,-377.6%
OCZ,OCZ Technology Group Inc,1.78,-483.3%,N/A,N/A,N/A,-6.03,-0.574,-0.29,Technology,Electronic Components,-1377.8%,-516.6%,4.5%,-43.4%
OMEX,"Odyssey Marine Exploration, Inc.",2.77,-91.2%,N/A,N/A,N/A,-2.81,-0.247,-0.34,Consumer Services,Marine Transportation,-81.3%,-72.4%,-76.5%,-134.6%
OPAY,"Official Payments Holdings, Inc.",5.05,-14.6%,N/A,N/A,N/A,-1.61,-0.254,0.92,Technology,EDP Services,-19.2%,-1.5%,-33.0%,-4.9%
ODFL,"Old Dominion Freight Line, Inc.",32.77,7.7%,3.72,25.4,3.9%,8.80,1.554,-6.74,Transportation,Trucking Freight/Courier Services,13.2%,3.1%,2.2%,12.1%
ZEUS,"Olympic Steel, Inc.",20.02,-1.6%,N/A,N/A,N/A,-42.76,-0.489,-37.88,Basic Industries,Metal Fabrications,1.8%,-27.5%,3.8%,15.4%
OFLX,"Omega Flex, Inc.",12.22,52.0%,1.78,17.3,5.8%,6.85,0.736,-0.51,Capital Goods,Industrial Specialties,16.4%,42.2%,71.3%,78.2%
OMER,Omeros Corporation,7.29,-808.0%,N/A,N/A,N/A,-10.35,-1.004,-0.31,Consumer Durables,Major Pharmaceuticals,-702.8%,-542.6%,-889.7%,-1096.9%
OMCL,"Omnicell, Inc.",15.23,77.5%,0.94,9.3,10.8%,16.13,1.250,3.64,Technology,Computer Manufacturing,72.7%,53.8%,108.7%,74.6%
OVTI,"OmniVision Technologies, Inc.",15.17,31.6%,1.17,11.6,8.6%,13.01,1.321,-0.21,Technology,Semiconductors,-1.5%,73.7%,24.5%,29.4%
ONNN,ON Semiconductor Corporation,6.62,13.8%,1.46,12.7,7.9%,4.53,0.785,-3.32,Technology,Semiconductors,16.3%,19.8%,5.2%,13.7%
OTIV,On Track Innovations Ltd,1.42,-31.2%,N/A,N/A,N/A,-2.58,-0.255,-0.03,Technology,Semiconductors,-50.5%,-36.8%,3.1%,-40.6%
OGXI,OncoGenex Pharmaceuticals Inc.,12.81,-67.4%,7.97,N/A,N/A,1.61,-0.031,1.92,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,-3596.4%,-6014.0%,9462.2%,-121.6%
ONCY,"Oncolytics Biotech, Inc.",2.21,-2776.6%,N/A,N/A,N/A,-3.24,-0.361,0.37,Consumer Durables,Major Pharmaceuticals,-3050.8%,-2721.8%,-2481.8%,-2851.8%
ONTY,Oncothyreon Inc.,4.45,-504.5%,N/A,N/A,N/A,-2.46,-0.291,0.45,Health Care,Biotechnology: Commercial Physical & Biological Resarch,-675.0%,-626.8%,-627.6%,-88.5%
ORCC,Online Resources Corporation,2.27,33.0%,0.53,7.6,13.1%,4.32,0.861,-4.30,Miscellaneous,Business Services,18.9%,36.9%,40.0%,36.2%
ONVI,"Onvia, Inc.",3.71,17.5%,2.88,30.4,3.3%,1.29,0.119,0.10,Miscellaneous,Business Services,20.0%,11.8%,80.4%,-42.1%
ONXX,"ONYX Pharmaceuticals, Inc.",75.62,190.5%,9.08,94.7,1.1%,8.33,0.795,0.38,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),248.4%,194.6%,460.2%,-141.2%
OTEX,Open Text Corporation,56.79,136.4%,2.54,19.9,5.0%,22.40,3.469,-12.29,Technology,EDP Services,217.5%,110.1%,91.9%,126.2%
OPEN,"OpenTable, Inc.",44.80,121.0%,2.50,24.9,4.0%,17.91,1.807,-0.16,Miscellaneous,Business Services,178.6%,151.1%,93.2%,61.1%
OPXA,"Opexa Therapeutics, Inc.",0.43,-263.4%,N/A,N/A,N/A,-2.25,-0.251,0.26,Consumer Durables,Major Pharmaceuticals,-269.2%,-231.2%,-10.4%,-542.7%
OPLK,"Oplink Communications, Inc.",15.66,20.3%,0.86,7.7,12.9%,18.20,1.122,6.99,Public Utilities,Telecommunications Equipment,27.6%,8.8%,12.4%,32.2%
OPNT,OPNET Technologies Inc.,41.40,91.8%,2.75,29.3,3.4%,15.07,1.365,1.42,Technology,Computer Software: Prepackaged Software,112.5%,109.6%,83.6%,61.4%
OBAS,Optibase Ltd.,5.49,N/A,N/A,N/A,N/A,N/A,N/A,-35.22,Finance,Real Estate,N/A,N/A,N/A,N/A
OCC,Optical Cable Corporation,4.42,-0.7%,N/A,N/A,N/A,-2.83,-0.034,-2.49,Basic Industries,Telecommunications Equipment,-1.1%,-6.0%,-3.1%,7.3%
OPTR,"Optimer Pharmaceuticals, Inc.",10.51,-726.2%,N/A,N/A,N/A,-7.76,-0.942,1.66,Consumer Durables,Major Pharmaceuticals,-447.6%,-989.6%,-777.0%,-690.5%
ORCL,Oracle Corporation,32.31,290.4%,1.01,10.1,9.9%,31.91,3.265,-0.74,Technology,Computer Software: Prepackaged Software,318.2%,292.9%,272.0%,278.4%
OSUR,"OraSure Technologies, Inc.",7.60,4.1%,30.68,243.1,0.4%,0.25,0.032,-0.07,Health Care,Medical/Dental Instruments,-19.7%,0.3%,-12.5%,48.3%
ORBC,ORBCOMM Inc.,3.38,-4.9%,N/A,N/A,N/A,-0.03,-0.117,1.14,Consumer Services,Telecommunications Equipment,-2.8%,-6.7%,-7.0%,-3.2%
ORBT,Orbit International Corporation,3.28,13.8%,6.67,32.8,3.1%,0.49,0.122,-0.73,Capital Goods,Industrial Machinery/Components,41.3%,1.8%,64.8%,-52.6%
ORBK,Orbotech Ltd.,8.15,22.5%,1.13,11.5,8.7%,7.20,0.630,0.90,Capital Goods,Industrial Machinery/Components,41.1%,39.4%,37.3%,-27.9%
OSH,Orchard Supply Hardware Stores Corporation,7.73,5.5%,N/A,27.2,3.7%,-53.00,3.531,-88.31,Consumer Services,RETAIL: Building Materials,5.5%,N/A,N/A,N/A
ORLY,"O&#39;Reilly Automotive, Inc.",93.32,26.7%,1.85,16.1,6.2%,50.38,7.040,-20.01,Consumer Services,Other Specialty Stores,42.7%,31.4%,14.5%,18.0%
OREX,"Orexigen Therapeutics, Inc.",4.85,-2596.3%,N/A,N/A,N/A,-5.59,-0.679,1.19,Consumer Durables,Major Pharmaceuticals,-1293.1%,247.8%,-2612.7%,-6727.3%
SEED,Origin Agritech Limited,1.41,73.0%,0.14,3.1,31.9%,10.41,1.311,-2.70,Consumer Non-Durables,Farming/Seeds/Milling,14.9%,144.9%,110.0%,22.2%
OFIX,Orthofix International N.V.,37.19,29.7%,6.38,24.7,4.1%,5.83,2.136,-15.53,Health Care,Medical/Dental Instruments,62.3%,54.2%,62.8%,-60.4%
OSIS,"OSI Systems, Inc.",61.15,52.6%,1.56,14.4,7.0%,39.11,5.033,-11.22,Technology,Semiconductors,92.9%,32.6%,48.7%,36.0%
OSIR,"Osiris Therapeutics, Inc.",9.48,-967.0%,N/A,N/A,N/A,-15.60,-1.539,-0.21,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-405.9%,-668.6%,-2820.6%,27.3%
OSN,"Ossen Innovation Co., Ltd.",0.91,-77.6%,N/A,N/A,N/A,-13.72,-1.079,-2.93,Basic Industries,Steel/Iron Ore,-78.6%,-132.7%,-21.4%,N/A
OTT,"Otelco, Inc.",1.49,0.0%,N/A,414222.9,0.0%,-24.59,0.000,-24.59,Public Utilities,Telecommunications Equipment,-2.4%,0.7%,0.8%,1.0%
OTTR,Otter Tail Corporation,24.47,-2.1%,N/A,N/A,N/A,-40.75,-0.994,-30.81,Public Utilities,Electric Utilities: Central,-3.9%,-3.6%,-0.0%,-0.7%
OUTD,"Outdoor Channel Holdings, Inc.",7.45,53.8%,1.06,10.9,9.2%,7.00,0.531,1.68,Consumer Services,Television Services,47.5%,36.8%,47.6%,83.1%
OVRL,"Overland Storage, Inc.",1.09,-610.9%,N/A,N/A,N/A,-7.17,-0.631,-0.86,Technology,Electronic Components,-514.9%,-568.1%,-732.5%,-628.0%
OSTK,"Overstock.com, Inc.",14.45,8.3%,5.14,30.5,3.3%,2.81,0.568,-2.87,Consumer Services,Catalog/Specialty Distribution,7.2%,2.9%,27.0%,-4.0%
OXGN,"OXiGENE, Inc.",0.42,-1469.7%,N/A,N/A,N/A,-4.22,-0.459,0.38,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-789.4%,-1358.3%,-1979.0%,-1752.2%
PFIN,"P & F Industries, Inc.",6.00,14.0%,1.21,11.1,9.0%,4.96,0.986,-4.90,Technology,Industrial Machinery/Components,11.5%,21.7%,25.2%,-2.4%
PTSI,"P.A.M. Transportation Services, Inc.",9.30,-2.1%,N/A,N/A,N/A,-22.46,-0.854,-13.93,Transportation,Trucking Freight/Courier Services,0.3%,-5.7%,-2.7%,-0.4%
PCAR,PACCAR Inc.,43.48,18.1%,3.33,18.0,5.6%,13.06,3.796,-24.90,Capital Goods,Auto Manufacturing,21.4%,16.9%,13.3%,20.8%
PACR,"Pacer International, Inc.",3.33,15.7%,2.23,14.1,7.1%,1.49,0.446,-2.96,Transportation,Oil Refining/Marketing,35.4%,5.5%,-36.6%,58.4%
PACB,"Pacific Biosciences of California, Inc.",1.85,-601.5%,N/A,N/A,N/A,-33.27,-3.595,2.68,Capital Goods,Biotechnology: Laboratory Analytical Instruments,-424.6%,-751.1%,-628.9%,N/A
PEIX,"Pacific Ethanol, Inc.",0.31,-16.5%,N/A,N/A,N/A,-2.77,-0.205,-0.72,Basic Industries,Major Chemicals,-12.2%,-21.5%,-11.1%,-21.3%
PSUN,"Pacific Sunwear of California, Inc.",1.56,-10.1%,N/A,N/A,N/A,-11.09,-0.839,-2.70,Consumer Services,Clothing/Shoe/Accessory Stores,-17.5%,-16.3%,1.5%,-7.9%
PCRX,"Pacira Pharmaceuticals, Inc.",16.99,-113.1%,N/A,N/A,N/A,-11.23,-1.160,0.38,Consumer Durables,Major Pharmaceuticals,-113.3%,-113.0%,N/A,N/A
PACT,Pactera Technology International Ltd,7.40,117.1%,0.77,7.1,14.0%,9.60,0.771,1.90,Technology,EDP Services,145.4%,101.1%,104.8%,N/A
PTIE,Pain Therapeutics,3.12,-253.1%,14.20,N/A,N/A,0.22,-0.075,0.97,Consumer Durables,Major Pharmaceuticals,-29.5%,-20.8%,-1228.1%,265.9%
PMTI,"Palomar Medical Technologies, Inc.",8.93,43.4%,0.68,5.7,17.4%,13.13,0.984,3.29,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,9.9%,-20.4%,67.5%,116.8%
PNRA,Panera Bread Company,159.23,27.8%,1.88,18.3,5.5%,84.70,8.991,-5.20,Consumer Services,Restaurants,29.0%,31.8%,29.2%,21.0%
PZZA,"Papa John&#39;S International, Inc.",53.10,18.6%,1.80,16.5,6.1%,29.53,3.623,-6.70,Consumer Services,Restaurants,20.0%,18.1%,23.5%,12.8%
PMTC,Parametric Technology Corporation,20.07,59.1%,1.97,16.8,5.9%,10.20,1.442,-4.22,Technology,Computer Software: Prepackaged Software,125.3%,29.6%,69.1%,12.4%
PRXL,PAREXEL International Corporation,32.05,28.9%,2.90,19.1,5.2%,11.05,2.315,-12.11,Health Care,Biotechnology: Commercial Physical & Biological Resarch,42.9%,-7.9%,42.9%,37.6%
PRKR,"ParkerVision, Inc.",2.20,-146.3%,N/A,N/A,N/A,-1.60,-0.164,0.05,Technology,Radio And Television Broadcasting And Communications Equipment,-125.2%,-124.4%,-155.7%,-179.9%
PKOH,Park-Ohio Holdings Corp.,20.38,6.0%,N/A,46.2,2.2%,-25.39,1.265,-38.03,Capital Goods,Industrial Specialties,2.1%,18.2%,2.7%,1.1%
PATK,"Patrick Industries, Inc.",16.99,-4.5%,N/A,N/A,N/A,-8.53,-0.325,-5.28,Basic Industries,Forest Products,5.4%,0.1%,-6.1%,-17.3%
PATR,"Patriot Transportation Holding, Inc.",25.74,-1.6%,N/A,N/A,N/A,-13.92,-0.529,-8.62,Transportation,Trucking Freight/Courier Services,-1.6%,-4.0%,-0.4%,-0.4%
PDCO,"Patterson Companies, Inc.",34.01,106.7%,1.11,10.9,9.2%,30.68,3.784,-7.16,Health Care,Medical Specialities,110.8%,111.6%,120.3%,84.1%
PTEN,"Patterson-UTI Energy, Inc.",17.57,11.9%,0.63,7.4,13.6%,27.96,3.921,-11.26,Energy,Oil & Gas Production,15.4%,7.7%,4.3%,20.1%
PLCC,Paulson Capital Corp.,0.80,N/A,N/A,N/A,N/A,N/A,N/A,-0.25,Finance,Investment Bankers/Brokers/Service,N/A,N/A,N/A,N/A
PAYX,"Paychex, Inc.",32.48,127.9%,1.08,10.8,9.3%,30.16,3.020,-0.04,Consumer Services,Diversified Commercial Services,116.7%,129.7%,118.8%,146.4%
PCCC,"PC Connection, Inc.",10.73,17.8%,N/A,29.5,3.4%,-1.09,0.607,-7.16,Consumer Services,Catalog/Specialty Distribution,7.4%,8.9%,-2.5%,57.4%
MALL,"PC Mall, Inc.",5.88,13.0%,N/A,31.1,3.2%,-13.53,0.922,-22.75,Consumer Services,Catalog/Specialty Distribution,-39.8%,48.5%,-21.9%,65.1%
PCTI,"PC-Tel, Inc.",6.49,76.6%,0.49,3.7,27.1%,13.33,1.084,2.49,Technology,Radio And Television Broadcasting And Communications Equipment,23.0%,-2.8%,26.6%,259.7%
PDCE,"PDC Energy, Inc.",34.57,1.7%,N/A,61.1,1.6%,-22.38,1.114,-33.52,Energy,Oil & Gas Production,0.2%,0.5%,-2.8%,9.0%
PDFS,"PDF Solutions, Inc.",14.63,28.2%,5.33,77.4,1.3%,2.74,0.176,0.98,Technology,EDP Services,50.5%,12.4%,-31.0%,81.0%
PDII,"PDI, Inc.",6.72,-31.3%,N/A,N/A,N/A,-5.23,-0.604,0.81,Miscellaneous,Business Services,-6.4%,52.6%,-101.2%,-70.4%
PDLI,"PDL BioPharma, Inc.",7.72,2169.1%,0.63,6.8,14.8%,12.29,1.417,-1.88,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3029.9%,2646.7%,2988.9%,10.8%
PRLS,Peerless Systems Corporation,3.65,2955.8%,0.84,-27.8,-3.6%,4.34,0.018,4.16,Technology,Computer Software: Prepackaged Software,300.4%,10729.1%,829.6%,-35.8%
PEGA,Pegasystems Inc.,20.27,238.2%,1.19,11.8,8.5%,16.98,1.860,-1.62,Technology,EDP Services,166.5%,94.4%,416.9%,275.2%
PCO,Pendrell Corporation,1.05,-2306.8%,N/A,N/A,N/A,-0.69,-0.111,0.41,Miscellaneous,Multi-Sector Companies,-7405.9%,-1785.3%,-14.6%,-21.6%
PENX,Penford Corporation,7.31,-9.7%,N/A,N/A,N/A,-42.10,-2.869,-13.42,Consumer Non-Durables,Packaged Foods,-7.8%,-9.0%,-8.4%,-13.5%
PENN,"Penn National Gaming, Inc.",50.96,10.6%,3.29,17.6,5.7%,15.50,4.675,-31.25,Consumer Services,Hotels/Resorts,14.7%,11.6%,1.5%,14.7%
PRCP,"Perceptron, Inc.",5.83,3.0%,3.15,65.8,1.5%,1.85,0.071,1.14,Capital Goods,Electronic Components,15.4%,28.8%,-28.3%,-4.0%
PPHM,Peregrine Pharmaceuticals Inc.,1.47,-353.0%,N/A,N/A,N/A,-2.93,-0.293,-0.01,Consumer Durables,Major Pharmaceuticals,-512.7%,-463.5%,-250.8%,-185.1%
PSMI,Peregrine Semiconductor Corp.,16.74,-9.6%,70.57,N/A,N/A,0.24,-0.093,1.17,Technology,Semiconductors,-9.6%,N/A,N/A,N/A
PWRD,"Perfect World Co., Ltd.",11.13,316.3%,0.06,0.4,256.1%,180.02,17.576,4.27,Miscellaneous,Business Services,88.4%,105.1%,137.8%,934.1%
PRFT,"Perficient, Inc.",10.80,285.3%,1.26,12.5,8.0%,8.57,0.903,-0.46,Technology,EDP Services,246.3%,284.4%,236.1%,374.5%
PTIX,"Performance Technologies, Incorporated",0.85,1.3%,1.30,26.0,3.8%,0.66,0.012,0.53,Technology,Computer Communications Equipment,21.3%,-71.5%,6.2%,49.3%
PFMT,Performant Financial Corporation,9.74,93.2%,2.13,16.1,6.2%,4.58,0.851,-3.93,Consumer Services,Other Consumer Services,93.2%,N/A,N/A,N/A
PERF,"Perfumania Holdings, Inc",5.04,69.0%,0.50,8.0,12.5%,9.98,2.437,-14.39,Consumer Services,Other Specialty Stores,56.8%,-34.8%,220.0%,34.0%
PSEM,Pericom Semiconductor Corporation,7.59,23.3%,0.57,4.7,21.4%,13.25,1.061,2.64,Technology,Semiconductors,19.2%,25.3%,4.5%,44.0%
PESI,"Perma-Fix Environmental Services, Inc.",0.79,2.6%,N/A,52.4,1.9%,-0.67,0.035,-1.02,Basic Industries,Environmental Services,17.4%,2.9%,-0.8%,-9.3%
PRGO,Perrigo Company,102.54,43.2%,2.95,23.2,4.3%,34.74,5.145,-16.71,Consumer Durables,Major Pharmaceuticals,52.9%,44.6%,42.1%,33.0%
PERY,Perry Ellis International Inc.,21.72,14.5%,N/A,30.7,3.3%,-7.20,1.398,-21.18,Consumer Non-Durables,Apparel,-0.5%,14.5%,60.8%,-16.8%
PVSW,Pervasive Software Inc.,8.84,96.8%,1.51,17.2,5.8%,5.85,0.415,1.70,Technology,Computer Software: Prepackaged Software,79.4%,99.4%,103.0%,105.2%
PETS,"PetMed Express, Inc.",11.55,467.8%,0.49,4.4,22.8%,23.34,2.098,2.36,Health Care,Medical/Nursing Services,344.4%,487.1%,475.9%,563.7%
PETM,"PetSmart, Inc",69.69,18.0%,2.03,18.2,5.5%,34.25,4.315,-8.90,Consumer Services,Other Specialty Stores,19.9%,15.5%,20.0%,16.3%
PFSW,"PFSweb, Inc.",2.43,-0.1%,N/A,N/A,N/A,-7.09,-0.006,-7.03,Miscellaneous,Business Services,-10.8%,-3.4%,5.2%,8.5%
PGTI,"PGT, Inc.",4.40,-9.4%,N/A,N/A,N/A,-3.39,-0.199,-1.40,Capital Goods,Building Products,-13.5%,0.5%,-6.6%,-18.0%
PCYC,"Pharmacyclics, Inc.",55.93,75.8%,18.53,404.2,0.2%,3.02,0.134,1.68,Consumer Durables,Major Pharmaceuticals,834.1%,-251.1%,-186.4%,-93.4%
ANTP,PHAZAR CORP,2.00,-20.4%,N/A,N/A,N/A,-5.63,-0.556,-0.08,Technology,Radio And Television Broadcasting And Communications Equipment,-11.5%,-0.4%,-30.4%,-39.5%
PHIIK,"PHI, Inc.",32.14,-1.8%,N/A,N/A,N/A,-36.01,-1.108,-24.93,Transportation,Transportation Services,-6.0%,1.0%,-1.2%,-1.1%
PHMD,"PhotoMedex, Inc.",13.71,295.2%,1.23,12.2,8.2%,11.13,1.191,-0.79,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,295.2%,N/A,N/A,N/A
PLAB,"Photronics, Inc.",5.03,-1.5%,N/A,N/A,N/A,-4.36,-0.323,-1.13,Technology,Semiconductors,2.2%,-0.9%,-3.8%,-3.3%
FACE,"Physicians Formula Holdings, Inc.",4.82,49.7%,1.45,12.2,8.2%,3.31,0.693,-3.61,Consumer Non-Durables,Package Goods/Cosmetics,15.5%,30.2%,56.4%,96.6%
PICO,PICO Holdings Inc.,18.36,N/A,N/A,N/A,N/A,N/A,N/A,-2.15,Finance,Real Estate,N/A,N/A,N/A,N/A
PXLW,"Pixelworks, Inc.",2.28,6.1%,4.35,34.6,2.9%,0.52,0.071,-0.19,Technology,Semiconductors,-12.9%,-35.8%,-4.5%,77.4%
PZZI,"Pizza Inn Holdings, Inc.",3.40,42.0%,1.02,10.1,9.9%,3.34,0.404,-0.70,Consumer Non-Durables,Food Distributors,20.4%,35.2%,47.3%,65.2%
PLXS,Plexus Corp.,22.45,17.7%,1.34,11.9,8.4%,16.70,2.986,-13.16,Technology,Electrical Products,23.1%,23.3%,-9.3%,33.8%
PLUG,"Plug Power, Inc.",0.67,-104.5%,N/A,N/A,N/A,-9.74,-0.940,-0.33,Energy,Industrial Machinery/Components,-104.9%,-113.1%,-82.1%,-118.1%
PSTI,"Pluristem Therapeutics, Inc.",3.37,-263.4%,N/A,N/A,N/A,-2.40,-0.289,0.49,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-120.0%,-274.6%,-344.0%,-315.1%
PLXT,"PLX Technology, Inc.",4.61,-17.3%,N/A,N/A,N/A,-0.99,-0.095,-0.04,Technology,Semiconductors,-20.1%,-10.3%,-45.8%,6.8%
PMCS,"PMC - Sierra, Inc.",5.18,47.3%,1.06,10.6,9.5%,4.90,0.494,-0.04,Technology,Semiconductors,58.2%,87.6%,49.0%,-5.8%
PMFG,"PMFG, Inc.",6.83,44.5%,1.44,14.8,6.8%,4.74,0.437,0.37,Capital Goods,Industrial Machinery/Components,58.7%,-19.7%,46.7%,92.3%
PTSX,Point.360,0.64,-6.7%,N/A,N/A,N/A,-5.79,-0.441,-1.38,Consumer Services,Movies/Entertainment,-0.7%,-9.3%,-10.5%,-6.4%
PCOM,"Points International, Ltd.",10.69,N/A,N/A,N/A,N/A,N/A,N/A,-0.58,Miscellaneous,Business Services,N/A,258.8%,92.1%,N/A
PTEK,"PokerTek, Inc.",0.82,-38.1%,N/A,N/A,N/A,-3.40,-0.322,-0.18,Consumer Durables,Miscellaneous manufacturing industries,-19.4%,-14.2%,-32.4%,-86.3%
PLCM,"Polycom, Inc.",10.30,79.6%,0.58,5.7,17.6%,17.84,1.750,0.34,Public Utilities,Telecommunications Equipment,87.8%,52.6%,80.1%,98.0%
POOL,Pool Corporation,41.65,160.6%,1.73,15.0,6.6%,24.09,3.483,-10.74,Consumer Durables,Industrial Specialties,129.7%,152.1%,181.8%,178.9%
POPE,Pope Resources,52.35,-6.2%,N/A,N/A,N/A,-54.01,-4.254,-11.47,Consumer Non-Durables,Environmental Services,-2.7%,-6.4%,-9.7%,-6.3%
PRAA,"Portfolio Recovery Associates, Inc.",99.56,N/A,N/A,N/A,N/A,N/A,N/A,-25.97,Finance,Finance: Consumer Services,N/A,N/A,N/A,N/A
PSTR,PostRock Energy Corporation,1.39,0.1%,N/A,524.7,0.2%,-15.68,0.033,-16.02,Energy,Oil & Gas Production,-0.0%,-0.5%,1.0%,0.0%
PCH,Potlatch Corporation,39.01,N/A,N/A,N/A,N/A,N/A,N/A,-13.21,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,N/A
